Timestamp,Distance(cm),Fill Percentage,Status,Temperature,Humidity,Alert
2026-06-12 09:57:15,34.23,65.77,Medium,39.82,34.49,Bin operating normally.
2026-06-12 09:57:15,49.12,50.88,Medium,36.22,78.38,Bin operating normally.
2026-06-12 09:57:15,7.25,92.75,Full,33.14,76.66,URGENT: Bin is Full. Collection Required.
2026-06-12 09:57:15,91.0,9.0,Empty,24.92,40.26,Bin operating normally.
2026-06-12 09:57:15,20.93,79.07,High,31.57,51.23,WARNING: Bin nearing capacity.
2026-06-12 09:57:15,70.68,29.32,Low,20.67,66.36,Bin operating normally.
2026-06-12 09:57:15,59.95,40.05,Medium,29.04,65.26,Bin operating normally.
2026-06-12 09:57:15,56.92,43.08,Medium,37.97,25.28,Bin operating normally.
2026-06-12 09:57:15,18.56,81.44,High,28.7,66.93,WARNING: Bin nearing capacity.
2026-06-12 09:57:15,33.98,66.02,Medium,22.58,38.87,Bin operating normally.
2026-06-12 09:57:15,9.68,90.32,Full,40.53,66.22,URGENT: Bin is Full. Collection Required.
2026-06-12 09:57:15,43.35,56.65,Medium,25.18,65.41,Bin operating normally.
2026-06-12 09:57:15,30.36,69.64,Medium,41.17,38.12,Bin operating normally.
2026-06-12 09:57:15,28.95,71.05,High,40.8,44.05,WARNING: Bin nearing capacity.
2026-06-12 09:57:15,46.71,53.29,Medium,32.8,46.22,Bin operating normally.
